text;context;verse;predicate;form;lexeme;PoS;head;anim;semantics;number;role;case;marker;allomorph;postp;trajector;motion;dialect;area;year;period
Lç;"""Habil fitetz plazetara, eta hiriko <karriketara>, eta paubreak eta inpotentak, eta mainguak eta itsuak huna barnera erekhar itzak.""";Lk 14,21;ibili;karriketara;karrika;noun;karrika;inanim;area;PL;Goal;allative;–ra;;;human;real;L;E;1571;Archaic
Lç;"""Habil fitetz plazetara, eta hiriko karriketara, eta paubreak eta inpotentak, eta mainguak eta itsuak huna <barnera> erekhar itzak.""";Lk 14,21;erakarri;barnera;barne;adv;barnera;inanim;orientation;SG;Goal;allative;–ra;;;people;real;L;E;1571;Archaic
Lç;"""Profeték eztute deus autoritaterik ukhan <Juduak baithara>, haien bide zuzenera erekharteko eta gidatzeko.""";Intro;edun;baithara;judu;noun;judu;human;ethnics;PL;Goal;allative;baitara;Ø_baitara;;abstract;no;L;E;1571;Archaic
Lç;"""Profeték eztute deus autoritaterik ukhan Juduak baithara, haien <bide zuzenera> erekharteko eta gidatzeko.""";Intro;erakarri;zuzenera;zuzen;adj;bide;inanim;abstract;SG;Goal;allative;–ra;;;people;metaphoric;L;E;1571;Archaic
Lç;"""hek haren bide bezala <bilhatzera> erideitera, ezagutzera eta ohoratzera inzitatu behar ziratekeen abertimendurik asko eman ukhan draue.""";Intro;inzitatu;bilhatzera;bilatu;nmlz;bilatu;inanim;;SG;Complement;allative;–ra;;;;inanim;L;E;1571;Archaic
Lç;"""hek haren bide bezala bilhatzera <erideitera>, ezagutzera eta ohoratzera inzitatu behar ziratekeen abertimendurik asko eman ukhan draue.""";Intro;inzitatu;erideitera;ediren;nmlz;ediren;inanim;;SG;Complement;allative;–ra;;;;inanim;L;E;1571;Archaic
Lç;"""hek haren bide bezala bilhatzera erideitera, <ezagutzera> eta ohoratzera inzitatu behar ziratekeen abertimendurik asko eman ukhan draue.""";Intro;inzitatu;ezagutzera;ezagutu;nmlz;ezagutu;inanim;;SG;Complement;allative;–ra;;;;inanim;L;E;1571;Archaic
Lç;"""hek haren bide bezala bilhatzera erideitera, ezagutzera eta <ohoratzera> inzitatu behar ziratekeen abertimendurik asko eman ukhan draue.""";Intro;inzitatu;ohoratzera;ohoratu;nmlz;ohoratu;inanim;;SG;Complement;allative;–ra;;;;inanim;L;E;1571;Archaic
Lç;"""joan izan zenean <bere etxera>""";Mk 7,30;joan;etxera;etxe;noun;etxe;inanim;building;SG;Goal;allative;–ra;;;human;real;L;E;1571;Archaic
Lç;"""baldin hura Sabathoan <lezera> eror badadi""";Mt 12,11;erori;lezera;leze;noun;leze;inanim;hole;SG;Goal;allative;–ra;;;human;real;L;E;1571;Archaic
Lç;"""astoa edo idia <putzura> eror badakió""";Lk 14,5;erori;putzura;putzu;noun;putzu;inanim;hole;SG;Goal;allative;–ra;;;animal;real;L;E;1571;Archaic
Lç;"""Eta <elhorri artera> erori dena""";Lk 8,14;erori;artera;arte;postp;elorri;inanim;vegetal;indet;Goal;allative;–ra;;Ø_arte;substance;real;L;E;1571;Archaic
Lç;"""<lur onera> erori dena""";Lk 8,15;erori;onera;on;adj;lur;inanim;area;SG;Goal;allative;–ra;;;substance;real;L;E;1571;Archaic
Lç;"""Zein bada hirur hautarik irudi zaik <gaixtaginetara> erori izan denaren hurko izan dela?""";Lk 10,36;erori;gaixtaginetara;gaiztagin;noun;gaiztagin;human;occupation;PL;Goal;allative;–ra;;;human;real;L;E;1571;Archaic
Lç;"""Ardi <lezera> eroria.""";Mt 12;erori;lezera;leze;noun;leze;inanim;hole;SG;Goal;allative;–ra;;;animal;real;L;E;1571;Archaic
Lç;"""Eta harri haren gainera eroriren dena, zathikaturen da, eta <noren gainera> eroriren baita, hura du xehaturen.""";Mt 21,44;erori;gainera;gain;postp;nor;human;;SG;Goal;allative;–ra;;GEN_gain;substance;real;L;E;1571;Archaic
Lç;"""Eta <harri haren gainera> eroriren dena, zathikaturen da, eta noren gainera eroriren baita, hura du xehaturen.""";Mt 21,44;erori;gainera;gain;postp;harri;inanim;location;SG;Goal;allative;–ra;;GEN_gain;substance;real;L;E;1571;Archaic
Lç;"""Eta harri haren gainera eroriren dena, zathikaturen da, eta <noren gainera> eroriren baita, hura du xehaturen.""";Lk 20,18;erori;gainera;gain;postp;nor;human;;SG;Goal;allative;–ra;;GEN_gain;substance;real;L;E;1571;Archaic
Lç;"""Eta <harri haren gainera> eroriren dena, zathikaturen da, eta noren gainera eroriren baita, hura du xehaturen.""";Lk 20,18;erori;gainera;gain;postp;harri;inanim;location;SG;Goal;allative;–ra;;GEN_gain;substance;real;L;E;1571;Archaic
Lç;"""bere itsu-aitzinekoarekin batean <hobira> eroriren dela""";Intro;erori;hobira;hobi;noun;hobi;inanim;hole;SG;Goal;allative;–ra;;;human;real;L;E;1571;Archaic
Lç;"""baldin itsuak itsua gida badeza, biak <hobira> eroriren dirade.""";Mt 15,14;erori;hobira;hobi;noun;hobi;inanim;hole;SG;Goal;allative;–ra;;;human;real;L;E;1571;Archaic
